Unit,Time,LPCOutletTemp,HPCOutletTemp,LPTOutletTemp,TotalHPCOutletPres,PhysFanSpeed,PhysCoreSpeed,StaticHPCOutletPres,FuelFlowRatio,CorrFanSpeed,CorrCoreSpeed,BypassRatio,BleedEnthalpy,HPTCoolantBleed,LPTCoolantBleed
71,5,642.6,1586.118,1404.658,553.654,2388.112,9042.382,47.508,521.622,2388.088,8124.336,8.4284,392.4,38.936,23.29144
71,6,642.586,1586.4,1404.682,553.596,2388.118,9042.468,47.47,521.542,2388.076,8124.434,8.42424,393,38.91,23.30036
71,7,642.37,1586.172,1404.874,553.852,2388.13,9043.256,47.432,521.554,2388.086,8124.134,8.43142,393,38.95,23.31818
71,8,642.4,1586.876,1405.938,553.844,2388.132,9043.722,47.414,521.502,2388.08,8124.892,8.44362,393,38.96,23.2916
71,9,642.212,1585.668,1404.508,553.618,2388.122,9043.436,47.396,521.562,2388.08,8126.262,8.44818,393.2,38.99,23.3169
71,10,642.402,1586.862,1405.516,553.62,2388.124,9044.464,47.4,521.5,2388.092,8126.26,8.44526,393,38.974,23.32528
71,11,642.43,1588.406,1404.968,553.686,2388.114,9044.32,47.432,521.524,2388.102,8126.122,8.45268,392.8,38.952,23.32684
71,12,642.562,1587.144,1405.678,553.47,2388.098,9044.422,47.512,521.564,2388.096,8127.484,8.44294,393.2,38.904,23.3214
71,13,642.528,1589.008,1405.472,553.592,2388.086,9044.452,47.466,521.622,2388.106,8127.18,8.4325,393,38.882,23.32884
71,14,642.684,1591.538,1406.522,553.782,2388.088,9045.412,47.52,521.544,2388.106,8126.434,8.42212,393.2,38.834,23.32802
71,15,642.594,1590.704,1405.848,553.796,2388.1,9046.764,47.496,521.616,2388.102,8126.782,8.425,393.2,38.826,23.31362
71,16,642.506,1589.352,1406.114,553.996,2388.112,9047.86,47.486,521.65,2388.1,8128.222,8.42154,392.8,38.866,23.33176
71,17,642.478,1588.92,1405.976,553.838,2388.116,9047.274,47.422,521.68,2388.096,8128.376,8.43624,392.8,38.836,23.32182
71,18,642.48,1587.696,1405.972,553.578,2388.124,9046.438,47.436,521.614,2388.094,8129.286,8.43226,392.8,38.798,23.3226
71,19,642.34,1586.45,1405.218,553.51,2388.126,9046.448,47.4,521.694,2388.094,8129.73,8.43858,392.4,38.798,23.3375
71,20,642.356,1585.976,1406.316,553.59,2388.11,9043.66,47.39,521.626,2388.088,8130.856,8.43592,392.4,38.828,23.36802
71,21,642.416,1586.836,1406.442,553.356,2388.108,9042.434,47.42,521.592,2388.074,8128.44,8.43044,392.6,38.81,23.36284
71,22,642.318,1588.346,1405.228,553.394,2388.102,9042.896,47.426,521.624,2388.08,8126.942,8.42066,392.4,38.88,23.3722
71,23,642.334,1588.632,1405.318,553.522,2388.104,9042.704,47.458,521.59,2388.082,8126.31,8.41938,392.4,38.916,23.3741
71,24,642.414,1588.754,1405.558,553.3,2388.104,9042.882,47.482,521.534,2388.096,8125.74,8.40972,392.6,38.904,23.34984
71,25,642.406,1590.286,1404.662,553.172,2388.114,9043.468,47.526,521.566,2388.104,8125.448,8.41256,393,38.854,23.3345
71,26,642.398,1590.238,1404.032,553.238,2388.114,9044.388,47.468,521.544,2388.118,8125.816,8.42162,393.4,38.834,23.33238
